Prekë;Pavadinimas;Barkodas;Grupë;Vartotojas;Sandëlis;Kiekis;Pard. kaina<br>(be PVM);Pard. suma;PVM proc.;PVM suma;Suma;Grupës pav.
KLVD-B3301;"Vyr. kelnaitës";KLVD-B3301;"VYR KELNAITES";-;-;3333;12,0000;1,0000;12,0000;0,0000;0,0000;12,0000;"vyriðkos trumpikës"
KLVD-D2071;"Vyr. Kelnaitës";KLVD-D2071;"VYR KELNAITES";-;-;3333;12,0000;1,0000;12,0000;0,0000;0,0000;12,0000;"vyriðkos trumpikës"
KLVD-DREAM;"Vyr. kelnaitës";KLVD-DREAM;"VYR KELNAITES";-;-;3333;12,0000;1,0000;12,0000;0,0000;0,0000;12,0000;"vyriðkos trumpikës"
LMC-B1003;Liemenëlë;LMC-B1003;LIEMENELE;-;-;3333;6,0000;2,2500;13,5000;0,0000;0,0000;13,5000;liemenëlë
LMC-B2206;Liemenëlë;LMC-B2206;LIEMENELE;-;-;3333;6,0000;2,2500;13,5000;0,0000;0,0000;13,5000;liemenëlë
LMC-B2223;Liemenëlë;LMC-B2223;LIEMENELE;-;-;3333;6,0000;2,2500;13,5000;0,0000;0,0000;13,5000;liemenëlë
LMC-B773;Liemenëlë;LMC-B773;LIEMENELE;-;-;3333;6,0000;2,2500;13,5000;0,0000;0,0000;13,5000;liemenëlë
LMC-B793;Liemenëlë;LMC-B793;LIEMENELE;-;-;3333;6,0000;2,7500;16,5000;0,0000;0,0000;16,5000;liemenëlë
LMC-B8229;Liemenëlë;LMC-B8229;LIEMENELE;-;-;3333;6,0000;2,2500;13,5000;0,0000;0,0000;13,5000;liemenëlë
LMC-B8373;Liemenëlë;LMC-B8373;LIEMENELE;-;-;3333;6,0000;2,0000;12,0000;0,0000;0,0000;12,0000;liemenëlë
LMC-D8395;Liemenëlë;LMC-D8395;LIEMENELE;-;-;3333;6,0000;2,2500;13,5000;0,0000;0,0000;13,5000;liemenëlë
LMC-K1585;Liemenëlë;LMC-K1585;LIEMENELE;-;-;3333;6,0000;2,0000;12,0000;0,0000;0,0000;12,0000;liemenëlë
LMC-K1800;Liemenëlë;LMC-K1800;LIEMENELE;-;-;3333;6,0000;2,2500;13,5000;0,0000;0,0000;13,5000;liemenëlë
LMC-K5606;Liemenëlë;LMC-K5606;LIEMENELE;-;-;3333;6,0000;1,7500;10,5000;0,0000;0,0000;10,5000;liemenëlë
LMC-K8588;Liemenëlë;LMC-K8588;LIEMENELE;-;-;3333;6,0000;2,0000;12,0000;0,0000;0,0000;12,0000;liemenëlë
LM-D1061;Liemenëlë;LM-D1061;LIEMENELE;-;-;3333;6,0000;2,7500;16,5000;0,0000;0,0000;16,5000;liemenëlë
LMD-817D;Liemenëlë;LMD-817D;LIEMENELE;-;-;3333;4,0000;1,5000;6,0000;0,0000;0,0000;6,0000;liemenëlë
LMD-B2261;Liemenëlë;LMD-B2261;LIEMENELE;-;-;3333;6,0000;2,2500;13,5000;0,0000;0,0000;13,5000;liemenëlë
LMD-B6707;Liemenëlë;LMD-B6707;LIEMENELE;-;-;3333;6,0000;2,0000;12,0000;0,0000;0,0000;12,0000;liemenëlë
LMD-B8222;Liemenëlë;LMD-B8222;LIEMENELE;-;-;3333;6,0000;2,2500;13,5000;0,0000;0,0000;13,5000;liemenëlë
LMD-BYALD;Liemenëlë;LMD-BYALD;LIEMENELE;-;-;3333;12,0000;2,0000;24,0000;0,0000;0,0000;24,0000;liemenëlë
LMD-D6710;Liemenëlë;LMD-D6710;LIEMENELE;-;-;3333;6,0000;2,0000;12,0000;0,0000;0,0000;12,0000;liemenëlë
LMD-D794;Liemenëlë;LMD-D794;LIEMENELE;-;-;3333;5,0000;2,0000;10,0000;0,0000;0,0000;10,0000;liemenëlë
LMD-D8340;Liemenëlë;LMD-D8340;LIEMENELE;-;-;3333;5,0000;2,0000;10,0000;0,0000;0,0000;10,0000;liemenëlë
LMDD-B2044;Liemenëlë;LMDD-B2044;LIEMENELE;-;-;3333;6,0000;2,2500;13,5000;0,0000;0,0000;13,5000;liemenëlë
LMDD-K267;Liemenëlë;LMDD-K267;LIEMENELE;-;-;3333;6,0000;2,2500;13,5000;0,0000;0,0000;13,5000;liemenëlë
LME-B2007;Liemenëlë;LME-B2007;LIEMENELE;-;-;3333;6,0000;2,5000;15,0000;0,0000;0,0000;15,0000;liemenëlë
LME-B2045;Liemenëlë;LME-B2045;LIEMENELE;-;-;3333;12,0000;2,2500;27,0000;0,0000;0,0000;27,0000;liemenëlë
LME-YALE;Liemenëlë;LME-YALE;LIEMENELE;-;-;3333;6,0000;2,2500;13,5000;0,0000;0,0000;13,5000;liemenëlë
LMSP-K8023;Liemenëlë;LMSP-K8023;LIEMENELE;-;-;3333;12,0000;1,2500;15,0000;0,0000;0,0000;15,0000;liemenëlë
2018-V-ISPARD;"vasaros iðpardavimas";2018-V-ISPARD;;-;-;AREN;0,0000;0;0,0000;0,0000;0,0000;0,0000;
6105;"Diana Urbonienë";6105;PARD;-;-;AREN;90,0000;0,0000;0,0000;0,0000;0,0000;0,0000;"Pardavëja - konsultantë"
6144;"Rita Karavackienë";6144;PARD;-;-;AREN;16,0000;0,0000;0,0000;0,0000;0,0000;0,0000;"Pardavëja - konsultantë"
6157;"Dovilë Ðarauskienë";6157;PARD;-;-;AREN;64,0000;0,0000;0,0000;0,0000;0,0000;0,0000;"Pardavëja - konsultantë"
CHC-98-C;Chalatas;CHC-98-C;NAKTINIAI;-;-;AREN;1,0000;11,5600;11,5600;21,0000;2,4300;13,9900;Naktiniai
CHC-98-E;Chalatas;CHC-98-E;NAKTINIAI;-;-;AREN;1,0000;11,5600;11,5600;21,0000;2,4300;13,9900;Naktiniai
DJ-87-3D004;Dþinsai;DJ-87-3D004;DZINSAI;-;-;AREN;1,0000;8,2600;8,2600;21,0000;1,7300;9,9900;Dþinsai
DJ-87-K125;Dþinsai;DJ-87-K125;DZINSAI;-;-;AREN;1,0000;14,0400;14,0400;21,0000;2,9500;16,9900;Dþinsai
DJ-87-RE6009;Dþinsai;DJ-87-RE6009;DZINSAI;-;-;AREN;1,0000;14,0400;14,0400;21,0000;2,9500;16,9900;Dþinsai
DJ-88-3D063;Dþinsai;DJ-88-3D063;DZINSAI;-;-;AREN;1,0000;16,5200;16,5200;21,0000;3,4700;19,9900;Dþinsai
DJ-8K-9175;Dþinsai;DJ-8K-9175;DZINSAI;-;-;AREN;1,0000;10,7400;10,7400;21,0000;2,2500;12,9900;Dþinsai
DJ-97-Q556-3;Dþinsai;DJ-97-Q556-3;DZINSAI;-;-;AREN;2,0000;14,0400;28,0800;21,0000;5,9000;33,9800;Dþinsai
DJK-88-3160-1;Dþinsai;DJK-88-3160-1;DZINSAI;-;-;AREN;2,0000;8,2600;16,5200;21,0000;3,4600;19,9800;Dþinsai
DJK-88-T3150;Dþinsai;DJK-88-T3150;DZINSAI;-;-;AREN;2,0000;8,2600;16,5200;21,0000;3,4600;19,9800;Dþinsai
DJO-94-J288;Dþinsai;DJO-94-J288;DZINSAI;-;-;AREN;3,0000;12,3900;37,1700;21,0000;7,8000;44,9700;Dþinsai
DJT-88-81381;Dþinsai;DJT-88-81381;DZINSAI;-;-;AREN;2,0000;8,2600;16,5200;21,0000;3,4600;19,9800;Dþinsai
DM-78-RV3359;Dþinsai;DM-78-RV3359;DZINSAI;-;-;AREN;1,0000;6,2000;6,2000;21,0000;1,3000;7,5000;Dþinsai
DM-83-M6250;Dþinsai;DM-83-M6250;DZINSAI;-;-;AREN;2,0000;8,2600;16,5200;21,0000;3,4600;19,9800;Dþinsai
DM-88-Z1142;Dþinsai;DM-88-Z1142;DZINSAI;-;-;AREN;1,0000;14,0400;14,0400;21,0000;2,9500;16,9900;Dþinsai
DM-8K-1318-2;Dþinsai;DM-8K-1318-2;DZINSAI;-;-;AREN;1,0000;8,2600;8,2600;21,0000;1,7300;9,9900;Dþinsai
DM-91-7118;Dþinsai;DM-91-7118;DZINSAI;-;-;AREN;1,0000;12,3900;12,3900;21,0000;2,6000;14,9900;Dþinsai
DM-91-YA01;Dþinsai;DM-91-YA01;DZINSAI;-;-;AREN;1,0000;14,0400;14,0400;21,0000;2,9500;16,9900;Dþinsai
DM-91-YA03;Dþinsai;DM-91-YA03;DZINSAI;-;-;AREN;2,0000;14,0400;28,0800;21,0000;5,9000;33,9800;Dþinsai
DM-91-YA06J;Dþinsai;DM-91-YA06J;DZINSAI;-;-;AREN;1,0000;14,0400;14,0400;21,0000;2,9500;16,9900;Dþinsai
DM-91-Z1176;Dþinsai;DM-91-Z1176;DZINSAI;-;-;AREN;1,0000;14,0400;14,0400;21,0000;2,9500;16,9900;Dþinsai
DM-92-3066;Dþinsai;DM-92-3066;DZINSAI;-;-;AREN;1,0000;14,0400;14,0400;21,0000;2,9500;16,9900;Dþinsai
DM-92-CS064;Dþinsai;DM-92-CS064;DZINSAI;-;-;AREN;1,0000;14,0400;14,0400;21,0000;2,9500;16,9900;Dþinsai
DM-93-K1809;Dþinsai;DM-93-K1809;DZINSAI;-;-;AREN;1,0000;10,7400;10,7400;21,0000;2,2500;12,9900;Dþinsai
DM-94-HF7031;Dþinsai;DM-94-HF7031;DZINSAI;-;-;AREN;1,0000;8,2600;8,2600;21,0000;1,7300;9,9900;Dþinsai
DM-96-1557;Dþinsai;DM-96-1557;DZINSAI;-;-;AREN;1,0000;14,0400;14,0400;21,0000;2,9500;16,9900;Dþinsai
DM-97-1009-1;Dþinsai;DM-97-1009-1;DZINSAI;-;-;AREN;1,0000;12,3900;12,3900;21,0000;2,6000;14,9900;Dþinsai
DM-97-7166;Dþinsai;DM-97-7166;DZINSAI;-;-;AREN;4,0000;12,3900;49,5600;21,0000;10,4000;59,9600;Dþinsai
DM-97-DJ647;Dþinsai;DM-97-DJ647;DZINSAI;-;-;AREN;2,0000;14,0400;28,0800;21,0000;5,9000;33,9800;Dþinsai
DM-97-YA12;Dþinsai;DM-97-YA12;DZINSAI;-;-;AREN;3,0000;14,0400;42,1200;21,0000;8,8500;50,9700;Dþinsai
DM-97-YA18;Dþinsai;DM-97-YA18;DZINSAI;-;-;AREN;4,0000;14,0400;56,1600;21,0000;11,8000;67,9600;Dþinsai
DM-98-F7136;Dþinsai;DM-98-F7136;DZINSAI;-;-;AREN;5,0000;12,3900;61,9500;21,0000;13,0000;74,9500;Dþinsai
DM-98-F7165;Dþinsai;DM-98-F7165;DZINSAI;-;-;AREN;7,0000;12,3900;86,7300;21,0000;18,2000;104,9300;Dþinsai
DMK-93-3192;Kelnës;DMK-93-3192;DZINSAI;-;-;AREN;1,0000;12,3900;12,3900;21,0000;2,6000;14,9900;Dþinsai
DMK-93-G3180;Kelnës;DMK-93-G3180;DZINSAI;-;-;AREN;1,0000;12,3900;12,3900;21,0000;2,6000;14,9900;Dþinsai
DMK-93-J9788;Kelnës;DMK-93-J9788;DZINSAI;-;-;AREN;1,0000;12,3900;12,3900;21,0000;2,6000;14,9900;Dþinsai
DMK-99-3189;Dþinsai;DMK-99-3189;DZINSAI;-;-;AREN;1,0000;12,3900;12,3900;21,0000;2,6000;14,9900;Dþinsai
DMO-93-DJ290;Dþinsai;DMO-93-DJ290;DZINSAI;-;-;AREN;1,0000;12,3900;12,3900;21,0000;2,6000;14,9900;Dþinsai
DMO-94-J290;Dþinsai;DMO-94-J290;DZINSAI;-;-;AREN;4,0000;14,0400;56,1600;21,0000;11,8000;67,9600;Dþinsai
DMT-80-C8175;Dþinsai;DMT-80-C8175;DZINSAI;-;-;AREN;1,0000;8,2600;8,2600;21,0000;1,7300;9,9900;Dþinsai
DMT-99-5012;Dþinsai;DMT-99-5012;DZINSAI;-;-;AREN;5,0000;10,7400;53,7000;21,0000;11,2500;64,9500;Dþinsai
DMT-99-5019;Dþinsai;DMT-99-5019;DZINSAI;-;-;AREN;4,0000;10,7400;42,9600;21,0000;9,0000;51,9600;Dþinsai
DMT-99-5020;Dþinsai;DMT-99-5020;DZINSAI;-;-;AREN;1,0000;10,7400;10,7400;21,0000;2,2500;12,9900;Dþinsai
DMT-99-D5002;Dþinsai;DMT-99-D5002;DZINSAI;-;-;AREN;3,0000;10,7400;32,2200;21,0000;6,7500;38,9700;Dþinsai
EKSPORT-2017;"eksportinës prekës";EKSPORT-2017;;-;-;AREN;0,0000;0;0,0000;0,0000;0,0000;0,0000;
EKSPORT-2018;"eksportinës prekës";EKSPORT-2018;;-;-;AREN;0,0000;0;0,0000;0,0000;0,0000;0,0000;
EKSPORT-2019;"eksportinës prekës";EKSPORT-2019;;-;-;AREN;0,0000;0;0,0000;0,0000;0,0000;0,0000;
EXPORT-2018;"eksportinës prekës 2018m.";EXPORT-2018;;-;-;AREN;0,0000;0;0,0000;0,0000;0,0000;0,0000;
GAMYBA-2018;"siûti gaminiai";GAMYBA-2018;;-;-;AREN;0,0000;0;0,0000;0,0000;0,0000;0,0000;
GAMYBA-2019;"siûti gaminiai";GAMYBA-2019;;-;-;AREN;0,0000;0;0,0000;0,0000;0,0000;0,0000;
K-7-110-I;Kelnës;K-7-110-I;KELNES;-;-;AREN;1,0000;10,7400;10,7400;21,0000;2,2500;12,9900;Kelnës
K-7-1-D;Kelnës;K-7-1-D;KELNES;-;-;AREN;1,0000;6,2000;6,2000;21,0000;1,3000;7,5000;Kelnës
K-84-BO2;Kelnës;K-84-BO2;KELNES;-;-;AREN;1,0000;3,7200;3,7200;21,0000;0,7800;4,5000;Kelnës
K-94-TL;Kelnës;K-94-TL;KELNES;-;-;AREN;1,0000;2,4700;2,4700;21,0000;0,5200;2,9900;Kelnës
K-96-B206;Kelnës;K-96-B206;KELNES;-;-;AREN;2,0000;2,4700;4,9400;21,0000;1,0400;5,9800;Kelnës
K-97-B209;Kelnës;K-97-B209;KELNES;-;-;AREN;4,0000;2,4700;9,8800;21,0000;2,0800;11,9600;Kelnës
K-98-JUST02;Kelnës;K-98-JUST02;KELNES;-;-;AREN;8,0000;4,1200;32,9600;21,0000;6,9600;39,9200;Kelnës
KC-129B-G;Kelnës;KC-129B-G;KELNES;-;-;AREN;1,0000;16,5200;16,5200;21,0000;3,4700;19,9900;Kelnës
KC-129-G;Kelnës;KC-129-G;KELNES;-;-;AREN;1,0000;10,7400;10,7400;21,0000;2,2500;12,9900;Kelnës
KC-148-B;Kelnës;KC-148-B;KELNES;-;-;AREN;1,0000;15,6900;15,6900;21,0000;3,3000;18,9900;Kelnës
KJ-KAPR-1;Kojinës;KJ-KAPR-1;KOJINES;-;-;AREN;147,0000;0,2310;33,9600;21,0000;7,2000;41,1600;Kojinës
KJM-L-D3277;Kojinës;KJM-L-D3277;KOJINES;-;-;AREN;6,0000;0,3733;2,2400;21,0000;0,4600;2,7000;Kojinës
KJM-L-JST;Kojinës;KJM-L-JST;KOJINES;-;-;AREN;49,0000;0,3720;18,2300;21,0000;3,8200;22,0500;Kojinës
KJM-L-KN;Kojinës;KJM-L-KN;KOJINES;-;-;AREN;34,0000;0,2309;7,8500;21,0000;1,6700;9,5200;Kojinës
KJM-T-BIX;Kojinës;KJM-T-BIX;KOJINES;-;-;AREN;9,0000;0,4956;4,4600;21,0000;0,9400;5,4000;Kojinës
KJM-T-D3273;Kojinës;KJM-T-D3273;KOJINES;-;-;AREN;7,0000;0,3300;2,3100;21,0000;0,4900;2,8000;Kojinës
KJM-T-M3274;Kojinës;KJM-T-M3274;KOJINES;-;-;AREN;18,0000;0,3300;5,9400;21,0000;1,2600;7,2000;Kojinës
KJVK-JST;"Vaik. kojinës";KJVK-JST;KOJINES;-;-;AREN;23,0000;0,3717;8,5500;21,0000;1,8000;10,3500;Kojinës
KJV-L-D3275;"Vyr. kojinës";KJV-L-D3275;KOJINES;-;-;AREN;3,0000;0,3733;1,1200;21,0000;0,2300;1,3500;Kojinës
KJV-L-KN;"Vyr. kojinës";KJV-L-KN;KOJINES;-;-;AREN;119,0000;0,2312;27,5100;21,0000;5,8100;33,3200;Kojinës
KJV-L-M3276;"Vyr. kojinës";KJV-L-M3276;KOJINES;-;-;AREN;12,0000;0,3725;4,4700;21,0000;0,9300;5,4000;Kojinës
KJV-L-RATK;"Vyr. kojinës";KJV-L-RATK;KOJINES;-;-;AREN;28,0000;0,3714;10,4000;21,0000;2,2000;12,6000;Kojinës
KJV-T-JST;"Vyr. kojinës";KJV-T-JST;KOJINES;-;-;AREN;33,0000;0,3300;10,8900;21,0000;2,3100;13,2000;Kojinës
KJV-T-M3272;"Vyr. kojinës";KJV-T-M3272;KOJINES;-;-;AREN;36,0000;0,3300;11,8800;21,0000;2,5200;14,4000;Kojinës
KJV-T-SHUOG;"Vyr. kojinës";KJV-T-SHUOG;KOJINES;-;-;AREN;34,0000;0,3300;11,2200;21,0000;2,3800;13,6000;Kojinës
KLFG-B536;Kelnaitës;KLFG-B536;KELNAITES;-;-;AREN;4,0000;2,4800;9,9200;21,0000;2,0800;12,0000;"Moteriðkos kelnaitës"
KLFG-D0495;Kelnaitës;KLFG-D0495;KELNAITES;-;-;AREN;1,0000;3,3100;3,3100;21,0000;0,6900;4,0000;"Moteriðkos kelnaitës"
KLFG-D9486;Kelnaitës;KLFG-D9486;KELNAITES;-;-;AREN;4,0000;3,3100;13,2400;21,0000;2,7600;16,0000;"Moteriðkos kelnaitës"
KLJ1-B127;Kelnaitës;KLJ1-B127;KELNAITES;-;-;AREN;12,0000;0,6600;7,9200;21,0000;1,6800;9,6000;"Moteriðkos kelnaitës"
KLJ1-B1713;Kelnaitës;KLJ1-B1713;KELNAITES;-;-;AREN;2,0000;0,6600;1,3200;21,0000;0,2800;1,6000;"Moteriðkos kelnaitës"
KLJ1-B17712;Kelnaitës;KLJ1-B17712;KELNAITES;-;-;AREN;1,0000;0,6600;0,6600;21,0000;0,1400;0,8000;"Moteriðkos kelnaitës"
KLJ1-B203;Kelnaitës;KLJ1-B203;KELNAITES;-;-;AREN;21,0000;0,6600;13,8600;21,0000;2,9400;16,8000;"Moteriðkos kelnaitës"
KLJ1-B3075;Kelnaitës;KLJ1-B3075;KELNAITES;-;-;AREN;2,0000;0,6600;1,3200;21,0000;0,2800;1,6000;"Moteriðkos kelnaitës"
KLJ1-B31738;Kelnaitës;KLJ1-B31738;KELNAITES;-;-;AREN;15,0000;0,6600;9,9000;21,0000;2,1000;12,0000;"Moteriðkos kelnaitës"
KLJ1-B558;Kelnaitës;KLJ1-B558;KELNAITES;-;-;AREN;14,0000;0,6600;9,2400;21,0000;1,9600;11,2000;"Moteriðkos kelnaitës"
KLJ1-B5664;Kelnaitës;KLJ1-B5664;KELNAITES;-;-;AREN;21,0000;0,6600;13,8600;21,0000;2,9400;16,8000;"Moteriðkos kelnaitës"
KLJ1-B6072;Kelnaitës;KLJ1-B6072;KELNAITES;-;-;AREN;1,0000;0,6600;0,6600;21,0000;0,1400;0,8000;"Moteriðkos kelnaitës"
KLJ1-B61711;Kelnaitës;KLJ1-B61711;KELNAITES;-;-;AREN;5,0000;0,6600;3,3000;21,0000;0,7000;4,0000;"Moteriðkos kelnaitës"
KLJ1-B9812;Kelnaitës;KLJ1-B9812;KELNAITES;-;-;AREN;2,0000;0,6600;1,3200;21,0000;0,2800;1,6000;"Moteriðkos kelnaitës"
KLJ1-CHGR1P;Kelnaitës;KLJ1-CHGR1P;KELNAITES;-;-;AREN;2,0000;0,6600;1,3200;21,0000;0,2800;1,6000;"Moteriðkos kelnaitës"
KLJ1-CHGR1S;Kelnaitës;KLJ1-CHGR1S;KELNAITES;-;-;AREN;4,0000;0,6600;2,6400;21,0000;0,5600;3,2000;"Moteriðkos kelnaitës"
KLJ1-D1308;Kelnaitës;KLJ1-D1308;KELNAITES;-;-;AREN;3,0000;0,6600;1,9800;21,0000;0,4200;2,4000;"Moteriðkos kelnaitës"
KLJ1-D3358;Kelnaitës;KLJ1-D3358;KELNAITES;-;-;AREN;1,0000;0,6600;0,6600;21,0000;0,1400;0,8000;"Moteriðkos kelnaitës"
KLJ1-KL321;Kelnaitës;KLJ1-KL321;KELNAITES;-;-;AREN;2,0000;0,6600;1,3200;21,0000;0,2800;1,6000;"Moteriðkos kelnaitës"
