Kodas;P-LT;P- Lv;P- EE;Sudëtis;Sudëtis LV;Sudëtis EE;Pirk. Kaina;Gamintojas Lt;Gamintojas Lv;Gamintojas EE;Pard. K- LT;Pard. K- LV;Pard. K- EE;Dydis;Ûgis;LT- EUR;Spalva;Gaminio paskirtis;Firma;Bendras kiekis;kiekis lt;kiekis lv;kiekis est;Didmena;PASTABOS;Registras 3;;poros lt;poros lv;poros est;grupe;EST savikaina;estijos numeris;BARKODAS
M-17CHR-I-SZ;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-17CHR-J-SZ;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-17CHR-K-SZ;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-17CHR-Z-SZ;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-A-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-A-BO;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-A-EL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-A-JB;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-A-ME;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-A-RU;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-A-SZ;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-A-TZ;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-B-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-B-BO;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-B-EL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-B-JB;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-B-ME;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-B-RU;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-B-SZ;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-20K-B-SZ;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-20K-B-TZ;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-C-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-20K-C-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-20K-C-BO;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-C-EL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-C-JB;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-C-ME;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-C-RU;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-C-SZ;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-C-TZ;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-D-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-D-BO;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-D-EL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-D-JB;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-D-ME;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-D-RU;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-D-SZ;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-D-TZ;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-E-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-20K-E-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-20K-E-BO;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-20K-E-EL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
