Kodas;P-LT;P- Lv;P- EE;Sudëtis;Sudëtis LV;Sudëtis EE;Pirk. Kaina;Gamintojas Lt;Gamintojas Lv;Gamintojas EE;Pard. K- LT;Pard. K- LV;Pard. K- EE;Dydis;Ûgis;LT- EUR;Spalva;Gaminio paskirtis;Firma;Bendras kiekis;kiekis lt;kiekis lv;kiekis est;Didmena;PASTABOS;Registras 3;;poros lt;poros lv;poros est;grupe;EST savikaina;estijos numeris;BARKODAS
M-42K-I-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-42K-I-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-42K-J-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-42K-K-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-42K-K-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-42K-Z-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-46CHR-A-JB;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-46CHR-B-JB;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-46CHR-B-JB;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-46CHR-C-JB;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-46CHR-C-JB;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-46CHR-D-JB;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-46CHR-E-JB;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-46CHR-E-JB;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-46CHR-F-JB;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-46CHR-G-JB;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-46CHR-H-JB;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-46CHR-I-JB;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-46CHR-I-JB;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-46CHR-J-JB;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-46CHR-K-JB;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-46CHR-Z-JB;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-49K-A-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-49K-B-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-49K-C-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-49K-C-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-49K-D-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-49K-E-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-49K-F-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-49K-G-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-49K-G-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-49K-H-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-49K-I-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-49K-J-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-49K-K-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-49K-Z-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-50K-A-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-50K-A-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-50K-B-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-50K-B-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-50K-C-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-50K-D-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-50K-E-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-50K-F-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-50K-G-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-50K-H-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-50K-I-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-50K-J-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-50K-K-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-50K-Z-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-50K-Z-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-5K-A-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-5K-B-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-5K-B-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-5K-C-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-5K-C-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-5K-D-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-5K-D-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-5K-E-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-5K-F-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-5K-F-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-5K-G-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-5K-H-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-5K-I-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-5K-I-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-5K-J-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-5K-K-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-5K-Z-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-5K-Z-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-7K-A-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-7K-A-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-7K-B-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-7K-C-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-7K-C-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-7K-D-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-7K-E-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-7K-F-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-7K-F-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-7K-G-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-7K-H-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-7K-I-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-7K-I-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-7K-J-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
M-7K-K-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-7K-K-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;1;;;;;;;;;;;;;;;;
M-7K-Z-BL;6;4;ADMIN;;;;1;INTE;;;;;;;;;;2;;;;;;;;;;;;;;;;
